# Bank<TAB>CPU address<TAB>label<TAB>kind<TAB>note
00	BFD8	Bank00_TextStreamRollover	Data	Compressed text ends here and group $19 continues at bank $01:$8000
00	BFE0	Bank00_TitleSignature	Data	Repeated ASCII title signature in the bank compatibility footer
00	BFFA	Bank00_CompatibilityVectors	Vectors	Repeated compatibility vectors targeting the local $BFD8 reset stub
01	8000	Bank01_TextGroup19Continuation	CompressedText	Group $19 continues here from bank $00:$BBD8 through $8025
01	BFD8	Bank01_TextStreamRollover	Data	Compressed-text rollover boundary and repeated compatibility footer
01	BFE0	Bank01_TitleSignature	Data	Repeated ASCII title signature in the bank compatibility footer
01	BFFA	Bank01_CompatibilityVectors	Vectors	Repeated compatibility vectors targeting the local $BFD8 reset stub
02	8000	Bank02_TextGroup26Continuation	CompressedText	Group $26 continues here from bank $01:$BE35 through approximately $83E4
02	BFD8	Bank02_TextStreamRollover	Data	Compressed-text rollover boundary and repeated compatibility footer
02	BFE0	Bank02_TitleSignature	Data	Repeated ASCII title signature in the bank compatibility footer
02	BFFA	Bank02_CompatibilityVectors	Vectors	Repeated compatibility vectors targeting the local $BFD8 reset stub
03	8000	Bank03_TextGroup35Continuation	CompressedText	Group $35 continues here from bank $02:$BCF3 through $833B
03	BFD8	Bank03_TextStreamRollover	Data	Compressed-text rollover boundary and repeated compatibility footer
03	BFE0	Bank03_TitleSignature	Data	Repeated ASCII title signature in the bank compatibility footer
03	BFFA	Bank03_CompatibilityVectors	Vectors	Repeated compatibility vectors targeting the local $BFD8 reset stub
04	8000	Bank04_TextGroup40Continuation	CompressedText	Group $40 continues here from bank $03:$BD2B through $81CF
04	BFD8	Bank04_TextStreamRollover	Data	Compressed-text rollover boundary and repeated compatibility footer
04	BFE0	Bank04_TitleSignature	Data	Repeated ASCII title signature in the bank compatibility footer
04	BFFA	Bank04_CompatibilityVectors	Vectors	Repeated compatibility vectors targeting the local $BFD8 reset stub
05	8000	Bank05_MapEntityPointers	Table	73 little-endian pointers indexed by CurrentMapNumber
05	8092	Bank05_MapEntityRecords	Data	Map-indexed entity, NPC placement, and event records expanded into WRAM entity arrays
06	8000	Bank06_CompressedMonsterGraphics	CompressedGraphics	Compressed monster graphics selected by bank $14's monster-ID bitmap and decoded into NES bitplanes
07	8000	Bank07_CompressedMonsterGraphics	CompressedGraphics	Compressed monster graphics selected by bank $14's monster-ID bitmap and decoded into NES bitplanes
08	8000	Bank08_MapTileServiceDirectory	Table	30 little-endian entry pointers used through the fixed-bank dispatch ABI
08	803C	Bank08_MapTileServices	Code	Map tile, tileset, and tile-behavior processing code
08	8229	Bank08_GraphicsBasePointers	Table	Three graphics-page base addresses
08	8ADB	Bank08_Tilesets	Data	51 tilesets, 64 bytes per tileset
08	979B	Bank08_MapTileAuxiliaryData	Data	Runtime-read auxiliary map and tile records reached through the service directory
08	A1BB	Bank08_TileIncrementPatterns	Table	Fourteen three-byte signed increment patterns
08	A1E5	Bank08_SpecialTilePatternData	Data	Additional signed tile-pattern data for special tile construction
