# Id<TAB>Category<TAB>Bank<TAB>Start<TAB>EndExclusive<TAB>Note
text-bank-00	text	00	8000	C000	Compressed dialogue groups $00-$19 and compatibility footer
text-bank-01	text	01	8000	C000	Compressed dialogue groups $1A-$27 and rollover bytes
text-bank-02	text	02	8000	C000	Compressed dialogue groups $28-$35 and rollover bytes
text-bank-03	text	03	8000	C000	Compressed dialogue groups $36-$40 and rollover bytes
text-bank-04	text	04	8000	C000	Compressed dialogue groups $41-$4A and rollover bytes
text-bank-1a	text	1A	8000	C000	Compressed dialogue groups $4B-$55 and rollover bytes
text-overlay-1b-55	text	1B	8000	832F	Group $55 continuation overlapping event code
text-tail-1b	text	1B	B78A	BFD8	Compressed dialogue groups $56-$57, including group $57 continuation after rollover
map-entities	maps	05	8000	C000	Per-map entity pointers and records
map-compressed-09	maps	09	8000	C000	Compressed location maps
map-compressed-0a	maps	0A	8000	C000	Compressed location maps
map-compressed-0b	maps	0B	8012	AF61	Location-map continuation and location maps, plus main, Gottside, and underworld row data with their row records
map-routing-08	maps	08	B7F7	BE94	Routing, transition, submap, and coordinate records
map-info-17	maps	17	B08D	B4AF	Map-information pointers and records
map-animation-17	maps	17	B4AF	BEE5	Map-animation setup and command streams
monster-graphics-06	graphics	06	8000	C000	Compressed monster graphics bank 0
monster-graphics-07	graphics	07	8000	C000	Compressed monster graphics bank 1
map-graphics-0c	graphics	0C	8000	C000	Raw NES 2bpp map graphics page
map-character-graphics-0d	graphics	0D	8000	BE44	Raw map and character sprite graphics
character-graphics-0e	graphics	0E	8097	BAD7	Character sprite graphics
ui-graphics-17	graphics	17	9452	9BFA	CHR-RAM user-interface graphics
font-graphics-18	graphics	18	B83D	BDBD	One-bitplane font glyphs
sprite-graphics-1b	graphics	1B	95C9	9E90	Sprite tile IDs, layouts, and 128 NES 2bpp tiles
fixed-graphics-1f	graphics	1F	F47B	FDFB	152 raw NES 2bpp tiles with intentional executable overlap at $F9F0
map-palettes-0e	palettes	0E	BB53	BE0B	Map palette overrides, lookups, color sets, and NES colors
audio-bank-19	audio	19	814E	BF7E	Track pointers, bank selectors, sequences, instruments, envelopes, and effects
